codigo_ibge_origin,latitude_origin,longitude_origin,codigo_uf_origin,codigo_ibge_destination,latitude_destination,longitude_destination,codigo_uf_destination
5007406,-189.249,-548.434,50,3547502,-217.083,-47.478,35
3156007,-182.922,-430.018,31,3159605,-222.461,-457.034,31
3544202,-199.868,-496.836,35,1718899,-108.617,-489.161,17
4315750,-29.639,-504.488,43,5107768,-138.146,-552.706,51
4215075,-270.653,-533.265,42,4317202,-278.702,-544.796,43
3156106,-210.276,-443.204,31,3159704,-195.186,-459.611,31
3543501,-23.829,-49.429,35,5219506,-16.084,-494.953,52
4315800,-292.884,-518.658,43,4215604,-280.331,-49.133,42
5007505,-199.565,-548.848,50,2806503,-106.434,-371.931,28
3156205,-216.284,-430.165,31,3547601,-214.776,-473.622,35
4215109,-269.243,-493.649,42,2209377,-679.581,-422.814,22
4315909,-274.742,-531.706,43,1200435,-944.652,-704.902,12
3156304,-212.035,-428.586,31,4215653,-291.313,-497.109,42
2927101,-885.021,-38.78,29,1718907,-114.474,-481.216,17
2411007,-578.393,-380.579,24,3547650,-202.429,-506.887,35
1200427,-773.864,-72.661,12,3204609,-199.363,-405.979,32
4315958,-282.566,-548.186,43,2928505,-127.697,-395.215,29
4122404,-233.101,-513.659,41,2513802,-707.964,-374.435,25
4316006,-296.462,-505.819,43,4317251,-291.655,-517.351,43
1100288,-117.271,-617.714,11,5219605,-137.138,-490.144,52
3156403,-188.838,-475.782,31,4124020,-250.543,-536.274,41
4215208,-266.809,-533.172,42,1719004,-102.746,-478.033,17
4122503,-245.958,-522.716,41,4215679,-267.813,-50.009,42
4316105,-277.758,-528.056,43,5107776,-104.704,-50.514,51
4316204,-278.315,-529.081,43,2612802,-737.696,-374.787,26
5107578,-108.376,-614.697,51,5219704,-144.326,-497.091,52
4122602,-23.412,-527.659,41,4124053,-254.391,-54.402,41
1506187,-477.793,-48.067,15,4215687,-26.624,-531.997,42
5107602,-164.673,-546.372,51,1720002,-644.438,-476.684,17
4316303,-281.297,-550.266,43,3159803,-188.414,-501.208,31
1400472,939.956,-604.389,14,4317301,-33.525,-533.717,43
3544251,-225.782,-530.603,35,2928000,-112.508,-39.375,29
2109601,-293.444,-442.531,21,2928208,-129.792,-440.506,29
3156452,-209.812,-425.112,31,1600600,-45.434,-511.729,16
2806107,-106.904,-370.357,28,4317004,-308.697,-53.11,43
4122651,-242.682,-51.272,41,3547205,-202.523,-508.014,35
4316402,-302.515,-549.221,43,3158300,-212.449,-455.005,31
5107701,-148.259,-564.236,51,3158409,-212.893,-425.524,31
3544301,-228.938,-45.307,35,2513505,-754.705,-383.236,25
2707800,-983.503,-359.782,27,3547304,-234.439,-469.178,35
3156502,-164.053,-42.261,31,3158508,-189.962,-440.409,31
3544400,-213.006,-507.296,35,2312007,-346.144,-402.118,23
5218904,-151.617,-498.048,52,1506708,-93.281,-50.35,15
3156601,-163.775,-405.397,31,2312106,-717.613,-397.302,23
3544509,-201.759,-51.007,35,3158607,-219.512,-431.583,31
1506195,-410.028,-549.092,15,3158706,-215.983,-44.105,31
2311801,-492.673,-379.721,23,2708006,-936.999,-37.248,27
2411106,-588.745,-35.933,24,4124004,-237.587,-496.293,41
2927200,-122.816,-404.931,29,3158805,-209.007,-451.285,31
3156700,-19.884,-438.263,31,3158904,-201.031,-419.278,31
4122701,-233.155,-51.555,41,2110237,-3.109,-424.064,21
3544608,-214.593,-495.755,35,2411403,-594.605,-366.578,24
